gvkey,LINKPRIM,LINKTYPE,LPERMNO,LINKDT,LINKENDDT
1177,P,NR,,19620131,19680923
1177,J,NR,,20010629,20060131
1177,P,LC,46850,19680924,20001213
1177,P,LC,88845,20001214,20181130
1178,C,NU,,19921201,19930430
1178,C,LU,11173,19740101,19740130
1178,P,LU,11173,19740131,19921130
1179,C,NU,,19820130,19820930
1179,C,LU,52310,19740101,19780130
1179,P,LU,52310,19780131,19820129
1180,C,NU,,19660101,19670227
1180,P,NU,,19670228,19700513
1180,P,NU,,19850222,19850830
1180,P,LU,50569,19700514,19850221
1181,C,NR,,19730101,19730808
1181,J,NR,,19880831,19931029
1181,P,NR,,19890601,19890607
1181,P,LC,57349,19730809,19890531
1181,P,LC,75618,19890608,19931001
1182,C,NU,,19690701,19700129
1182,P,NU,,19700130,19721213
1182,P,LU,57613,19721214,19840928
1183,C,NR,,19820201,19830607
1183,P,NR,,19980310,20121231
1183,P,LC,11181,19830608,19980309
1184,C,NR,,19760501,19810910
1184,P,NR,,19840127,19840229
1184,P,LC,11200,19810911,19840126
1185,C,NU,,19680601,19710528
1186,C,NR,,19730101,19730130
1186,P,NR,,19730131,19821031
1186,N,NR,,19820129,19821031
1186,J,NR,,20021129,20071130
1186,P,LC,78223,19821101,E
1186,N,LX,78223,19821101,E
1187,C,NU,,19570101,19701231
1188,C,NU,,19771001,19810405
1188,P,LU,11229,19810406,19830531
1189,C,NU,,19610801,19811129
1189,C,NU,,19811130,19820128
1189,P,NU,,19820129,19961031
1189,J,NU,,19820129,19961031
1189,N,NU,,19820129,19961031
1189,P,NU,,19961101,20000428
1190,C,NU,,19730701,19980429
1190,C,NU,,19980430,E
1191,C,NR,,19740101,19810129
1191,P,NR,,19810130,19840629
1191,C,NR,,19840630,19840928
1192,P,NU,,19781209,19790131
1192,C,LU,17232,19490801,19620130
1192,P,LU,17232,19620131,19781208
1193,C,NU,,19730701,20030331
1194,C,NR,,19710101,19721030
1194,P,NR,,19721031,19721213
1194,P,LU,56266,19721214,19981030
1195,C,LU,11253,19740101,19780130
1195,P,LU,11253,19780131,19850628
1196,C,NU,,19670101,19680130
1196,P,LU,44820,19680131,19760930
1197,C,NU,,19610101,19620130
1197,C,NU,,19620131,19630422
1197,C,NU,,19950715,20070928
1197,C,LU,39116,19630423,19950714
1198,C,NU,,19660801,19700731
1199,C,NU,,19730301,19790510
1199,C,NU,,19800812,19821231
1199,C,LU,11280,19790511,19800811
1200,C,NR,,19660701,19700929
1200,P,NR,,19700930,19721213
1200,P,LC,11288,19721214,19730531
1201,C,NU,,19740101,19790130
1201,P,LU,11296,19790131,19881230
1202,C,NR,,19790101,19810708
1202,P,NR,,19830825,19830930
1202,P,LC,11309,19810709,19830824
1203,C,LU,61081,19730131,20000229
1204,C,NU,,19840817,19850531
1204,C,LU,11317,19730801,19790130
1204,C,LU,11317,19790131,19840816
1205,C,NU,,19730101,19781229
1206,C,NR,,19620101,19700929
1206,P,NR,,19700930,19721213
1206,P,LC,11325,19721214,19731231
1207,C,LN,11333,19721214,19740829
1208,C,NU,,19810101,19821104
1208,P,LU,11341,19821105,19910731
1209,C,NR,,19491001,19620130
1209,P,LC,28222,19620131,E
1210,C,NR,,19820201,19820729
1210,P,NR,,19820730,19840422
1210,J,NR,,20190628,E
1210,P,LC,11368,19840423,E
1211,C,NR,,19600101,19660905
1211,C,LC,43756,19660906,19681231
1212,C,NU,,19740101,19790130
1212,P,LU,11376,19790131,19920131
1213,C,NU,,19650401,19680130
1213,P,NU,,19680131,19710104
1213,P,NU,,20030816,20030930
1213,C,NU,,20031001,20031031
1213,P,LU,51721,19710105,20030815
1214,C,NU,,19820101,19830824
1214,P,LU,67125,19830825,19870430
1215,C,LU,10102,19500101,19620130
1215,P,LU,10102,19620131,19780428
1216,C,NR,,19730401,19760513
1216,C,NR,,19770922,19810528
1216,P,NR,,19810529,19821029
1216,C,NR,,19821030,19881230
1216,C,LN,11392,19760514,19770921
1217,C,NU,,19801104,19821231
1217,C,LU,46244,19730701,19780629
1217,C,LU,46244,19780630,19801103
1218,C,NU,,19600101,19651129
1218,P,NU,,19651130,19670802
1218,P,LU,44775,19670803,19760430
1219,C,NR,,19630101,19650128
1219,P,NR,,19650129,19681218
1219,P,LC,47378,19681219,19740531
1220,C,NR,,19600101,19621129
1220,P,NR,,19621130,19650406
1220,P,LC,41793,19650407,19750731
1221,C,NR,,19500101,19620130
1221,P,LU,25662,19620131,19820831
1222,P,NR,,19880423,19880531
1222,C,LC,63415,19820101,19820128
1222,P,LC,63415,19820129,19880422
1223,C,NU,,19660101,19660130
1223,P,NU,,19660131,19850628
1224,C,NU,,19811001,E
1225,C,NR,,19640101,19980929
1225,C,NR,,19980930,20040429
1225,J,NR,,20040430,20060131
1225,N,NR,,20040430,20080430
1225,J,NR,,20060331,20070228
1225,C,NR,,20080501,E
1226,C,NU,,19810101,19820323
1226,P,LU,64848,19820324,19970829
1227,C,NU,,19800101,19841230
1227,P,NU,,19841231,19850106
1227,P,LU,67133,19850107,19860530
1228,C,NR,,19800601,19820513
1228,C,NR,,19860123,19880822
1228,C,NR,,19900202,19900422
1228,C,NR,,20110726,E
1228,C,LC,11456,19820514,19860122
1228,C,LC,11456,19880823,19900201
1228,C,LC,11456,19900423,20110725
1229,C,NU,,19660901,19720130
1229,P,NU,,19720131,19721213
1229,P,LU,11472,19721214,19780731
1230,C,NU,,19600101,19660130
1230,P,LU,28804,19660131,E
1231,C,NU,,19750101,19810129
1231,P,NU,,19810130,19910628
1231,C,NU,,19910629,19950929
1232,C,NU,,19740101,19741104
1232,P,LU,11520,19741105,19790831
1233,C,NU,,19800101,19800529
1233,C,NU,,19870619,19970731
1233,C,LU,11536,19800530,19870618
1234,C,NU,,19620101,19620227
1234,P,NU,,19620228,19721213
1234,P,LU,11587,19721214,E
1235,C,NU,,19610701,19620730
1235,P,NU,,19620731,19691124
1235,P,LU,49584,19691125,19991231
1236,C,NU,,19660101,19660130
1236,P,NU,,19660131,19721213
1236,P,LU,57998,19721214,19830729
1237,C,NU,,19590701,19700929
1237,P,NU,,19700930,19721229
1238,C,NR,,19750101,19820128
1238,C,NR,,19820129,19870528
1238,P,NR,,19870529,19950920
1238,N,NR,,19870529,19950920
1238,C,NR,,20020406,20020531
1238,P,LC,82233,19950921,20020405
1238,N,LX,82233,19950921,20020405
1239,C,NR,,19551201,19620130
1239,P,NR,,19620131,19650610
1239,P,LC,42083,19650611,20110510
1239,J,LC,69163,19860423,20031105
1240,C,NR,,19610401,19620130
1240,P,NU,,19620131,19700209
1240,P,LU,50032,19700210,20060630
1241,C,NU,,19800101,19840731
1241,P,LU,11608,19840801,19890630
1242,C,NR,,19751001,19790130
1242,P,NR,,19800628,19800731
1242,C,NR,,19800801,19850930
1242,P,LC,11616,19790131,19800627
1243,C,NR,,19500101,19500530
1243,C,NR,,20071115,20071231
1243,C,LC,24264,19500531,19620130
1243,P,LC,24264,19620131,20071114
1243,N,LX,24264,19820129,20071114
1244,P,NR,,20040731,20040831
1244,P,LC,11624,19830526,20040730
1245,C,NR,,19831001,19850814
1245,C,NR,,19891101,19950929
1245,P,LC,85244,19850815,19891031
1246,C,NU,,19531001,19651230
1246,P,NU,,19651231,19690615
1246,P,LU,48514,19690616,20081031
1247,P,NU,,19630131,19721213
1247,P,LU,56282,19721214,19810331
1248,C,NU,,19620501,19660428
1248,P,NU,,19660429,19711003
1248,P,LU,53321,19711004,19780131
1249,C,NU,,19850601,19860331
1249,P,LU,11659,19810908,19850531
1250,C,NR,,19730401,19780130
1250,C,NR,,19780131,19850106
1250,C,NR,,19970114,20101029
1250,C,LC,85252,19850107,19970113
1251,C,NU,,19810228,19851231
1251,C,LU,48733,19740101,19780130
1251,P,LU,48733,19780131,19810227
1252,C,NU,,19660701,19680130
1252,P,NU,,19680131,19721213
1252,P,LU,11683,19721214,19750731
1253,C,NU,,19680101,19690429
1253,P,NU,,19690430,19721213
1253,C,NU,,19970301,19970331
1253,P,LU,63845,19721214,19970228
1254,C,NU,,19620101,19620130
1254,P,NU,,19620131,19721213
1254,P,LU,11691,19721214,E
1255,C,NR,,19800401,19811118
1255,P,NR,,19960830,19960930
1255,P,LC,11704,19811119,19960829
1256,C,NU,,19591101,19691031
1257,C,NU,,19670801,19681230
1257,P,NU,,19681231,19691006
1257,P,LU,49330,19691007,E
1258,C,NR,,19810601,19820128
1258,C,NR,,19820129,19820216
1258,C,NR,,19831029,20091105
1258,C,LC,11712,19820217,19831028
1259,C,NR,,19861105,19961204
1259,C,NR,,19990428,20040908
1259,C,NR,,20090106,20130628
1259,C,LC,11739,19830801,19840130
1259,C,LC,11739,19840131,19861104
1259,C,LC,11739,19961205,19990427
1259,C,LC,11739,20040909,20090105
1260,C,NU,,19820801,19830919
1260,P,NU,,19990101,20020930
1260,P,LU,69171,19830920,19981231
1261,C,NU,,19741101,19790925
1261,P,LU,11755,19790926,19840430
1262,C,NU,,19600101,19820128
1262,C,NU,,19820129,20120830
1262,C,NR,,20120831,E
1262,N,NU,,20120831,E
1263,C,NU,,19600101,19820128
1263,C,NU,,19820129,19950713
1263,N,NU,,20001201,20011231
1263,P,NR,,20001201,20020131
1263,C,NU,,20020228,20050830
1263,C,NR,,20050831,20070629
1263,N,NU,,20050831,20070629
1263,P,LC,22182,20211020,E
1263,N,LX,22182,20211020,E
1263,P,LC,81765,19950714,20001130
1263,N,LX,81765,19950714,20001130
1264,C,NU,,19920312,20031031
1264,C,LU,11763,19730701,19790130
1264,C,LU,11763,19790131,19920311
1265,C,NU,,19830701,19840329
1265,C,NU,,19840330,20070731
1266,C,NU,,19610901,19620329
1266,P,NU,,19620330,19721213
1266,P,LU,11790,19721214,E
1267,C,NU,,19730801,19790927
1267,P,NU,,19790928,19790928
1268,C,NU,,19740901,19790530
1268,P,NU,,19790531,19790617
1268,P,LU,11798,19790618,19811130
1269,C,NU,,19840201,19850917
1269,P,LU,85279,19850918,19870731
1270,C,LU,28820,19730101,19780730
1270,P,LU,28820,19780731,19820430
1271,C,NU,,19831101,19840312
1271,C,LU,11827,19840313,19900430
1272,C,NR,,19770701,19810129
1272,C,NR,,19810130,E
1272,N,NR,,20020328,20060531
1273,C,NU,,19720701,19791231
1274,C,LC,17400,19740101,19740130
1274,P,LC,17400,19740131,19861223
1274,P,LC,71271,19870130,20221031
1275,C,NR,,19810101,19820128
1275,P,NR,,19851130,19851231
1275,P,LC,11835,19820129,19851129
1276,C,NU,,19740101,19780130
1276,C,NU,,19780131,E
1277,C,NR,,19670101,19671228
1277,P,NR,,19671229,19721213
1277,C,NR,,19881019,19950630
1277,P,LC,11843,19721214,19881018
1278,C,NR,,19900929,19920818
1278,C,NR,,20010206,20021231
