gvkey,fyear,Size,Leverage,MB,ATM_IV,IV_Skew,n_obs
001414,2018,8.33606230309516,0.1066566796728365,2.8543233895285227,0.25764325,0.048229888,230
001440,2017,10.496728245484075,0.30370266232652704,1.9793777776562584,0.14875929,0.033973277,231
001440,2018,10.515023459449228,0.3180350218305069,1.9373781316348193,0.15767562,0.024965758,230
001447,2017,11.354015192899523,0.24216296181807143,4.6802704778625115,0.20235221,0.025336158,231
001447,2018,11.298940346882596,0.24977465774488075,3.6220744728577836,0.2196765,0.024424031,230
001449,2017,10.44214641002375,0.03848648491076179,1.3933710017074559,0.1576259,0.039145116,231
001449,2018,10.446126624045409,0.04111647650385311,1.4666622692012614,0.17463204,0.038277324,230
001487,2017,10.888653036121367,0.06311446294508741,0.8219162065949579,0.18655843,0.032174524,231
001487,2018,10.438607485873057,0.06997178770041303,0.6059697430847572,0.24643654,0.033620346,230
001562,2017,5.967642030873965,0.0,3.4692638385561003,0.3049931,0.2460406,63
001562,2018,6.001930462846199,0.0,3.526908042266179,0.39608455,0.08222759,159
001585,2017,6.372283672788572,0.14467355748405503,1.9189443060381564,0.3936727,0.017988816,227
001585,2018,6.116822156446292,0.16285902487756637,1.37721805424779,0.39581165,0.07458688,229
001598,2017,9.726429868025573,0.2393728425010364,4.159919530900655,0.1800144,0.027634744,218
001598,2018,9.640525064668696,0.26249842997600636,3.6246339984563605,0.2125646,0.036406778,230
001602,2017,11.740782530203594,0.4276208820071541,4.975657858246504,0.21244928,0.026900118,231
001602,2018,11.716390514404381,0.44432064562755963,9.80513856,0.22588931,0.031048883,230
001613,2017,5.0322428275166775,0.07786788873389097,0.9643603601336345,0.4520597,0.10208967,121
001632,2017,10.42396049491508,0.35717227147969277,3.312142332756649,0.2360413,0.020830445,233
001632,2018,10.34129378927071,0.3063932377948925,2.819855376601441,0.25857124,0.034706213,232
001633,2017,6.774513672936855,0.0,1.9006840480006253,0.28790706,0.059145506,184
